id_ciudad,ciudad,latitud,longitud,geolabel
217,Olivos,-34.5075,-58.487,Olivos-Argentina
218,Palpala,-24.25,-65.1167,Palpala-Argentina
219,Parana,-31.7331,-60.5297,Parana-Argentina
220,Paso de los Libres,-29.7167,-57.0833,Paso de los Libres-Argentina
221,Pehuajo,-35.8,-61.9,Pehuajo-Argentina
222,Perez,-33,-60.7667,Perez-Argentina
223,Pergamino,-33.8833,-60.5667,Pergamino-Argentina
224,Pichanal,-23.3167,-64.2167,Pichanal-Argentina
225,Pilar,-34.45,-58.9167,Pilar-Argentina
226,Pinamar,-37.1,-56.85,Pinamar-Argentina
227,Pirane,-25.7328,-59.11,Pirane-Argentina
228,Plottier,-38.95,-68.2333,Plottier-Argentina
229,Posadas,-27.3667,-55.9,Posadas-Argentina
230,Presidencia Roque Saenz Pena,-26.7833,-60.45,Presidencia Roque Saenz Pena-Argentina
231,Puerto Esperanza,-26.0167,-54.65,Puerto Esperanza-Argentina
232,Puerto Iguazu,-25.6,-54.5667,Puerto Iguazu-Argentina
233,Puerto Madryn,-42.7667,-65.05,Puerto Madryn-Argentina
234,Puerto Rico,-26.8,-55.0167,Puerto Rico-Argentina
235,Puerto Tirol,-27.3667,-59.0667,Puerto Tirol-Argentina
236,Punta Alta,-38.88,-62.075,Punta Alta-Argentina
237,Quilmes,-34.7167,-58.2667,Quilmes-Argentina
238,Quitilipi,-26.8667,-60.2167,Quitilipi-Argentina
239,Rafael Calzada,-34.7833,-58.3667,Rafael Calzada-Argentina
240,Rafael Castillo,-34.7167,-58.6167,Rafael Castillo-Argentina
241,Rafaela,-31.2667,-61.4833,Rafaela-Argentina
242,Ramallo,-33.3167,-60.2,Ramallo-Argentina
243,Ramos Mejia,-34.65,-58.5667,Ramos Mejia-Argentina
244,Ranchos,-35.5333,-58.2833,Ranchos-Argentina
245,Rawson,-43.3,-65.1,Rawson-Argentina
246,Realico,-35.0389,-64.2472,Realico-Argentina
247,Reconquista,-29.2333,-59.9333,Reconquista-Argentina
248,Remedios de Escalada,-34.7167,-58.4,Remedios de Escalada-Argentina
249,Resistencia,-27.4514,-58.9867,Resistencia-Argentina
250,Rio Cuarto,-33.1333,-64.35,Rio Cuarto-Argentina
251,Rio Gallegos,-51.6233,-69.2161,Rio Gallegos-Argentina
252,Rio Grande,-53.7833,-67.7,Rio Grande-Argentina
253,Rio Tercero,-32.1833,-64.1,Rio Tercero-Argentina
254,Rivadavia,-31.5303,-68.5947,Rivadavia-Argentina
255,Rivadavia,-33.1833,-68.4667,Rivadavia-Argentina
256,Rojas,-34.1953,-60.735,Rojas-Argentina
257,Roque Perez,-35.4167,-59.3167,Roque Perez-Argentina
258,Rosario,-32.9575,-60.6394,Rosario-Argentina
259,Rosario de Lerma,-24.9833,-65.5833,Rosario de Lerma-Argentina
260,Rosario del Tala,-32.3,-59.1333,Rosario del Tala-Argentina
261,Saladas,-28.25,-58.6167,Saladas-Argentina
262,Saladillo,-35.6371,-59.7779,Saladillo-Argentina
263,Salliquelo,-36.7522,-62.9605,Salliquelo-Argentina
264,Salta,-24.7833,-65.4167,Salta-Argentina
265,Salto,-34.2929,-60.2546,Salto-Argentina
266,San Agustin,-31.9833,-64.3833,San Agustin-Argentina
267,San Andres de Giles,-34.4333,-59.4333,San Andres de Giles-Argentina
268,San Antonio,-24.3675,-65.3353,San Antonio-Argentina
269,San Antonio de Areco,-34.25,-59.4667,San Antonio de Areco-Argentina
